Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People‰Ûªs Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,35.679,51.279,49.08,40.924,,47.79007624,47.266,23.775,38.509,,32.829,22.4,17.9,45.931,48.51,16.8,44.304,47.24,48.34,17.8,45.934,34.38,31.504,23.455,44.967,28.3,43.812,42.28,30.56,45.211,49.525,47.281,43.148,26.7,19.11743371,17.7,16.068,35.556,20.86,54.472,42.549,46.651,42.702,46.11,47.707,47.987,45.901,40.2594035,32.046,,,25.558,13.4,17.3,43.595,,16.6,51.887,49.656,26.61304055,43.54026736,26.29963674,27.31707236,22.10331469,44.277,46.919,18.8388134,48.763,21.7,16.7,47.821,18.57953524,46.78909569,18.5,45.395,18.7,,43.605,32.464,17.5,25.078,47.321,,46.034,48.847,42.388,40.874,18.9,44.803,,48.399,37.601,43.02,21.60979801,35.245,49.949,48.06994805,18.4,44.233,14.7,32.5587912,34.95402266,46.92791085,45.09352213,44.549,47.80752434,14.1,41.995,,21.5,47.77,42.164,28,26.9,18.1,40.594,51.645,17.3,35.507,51.156,40.682,46.626,47.472,,42.277,42.227,41.86579677,43.308,38.374,48.761,50.392,48.988,41.26173656,47.7561828,47.46007492,23.1,37.098,42.71585092,35.15604674,43.113,25.78630654,22.5,16,16.7,30.46,,50.979,,27.698,48.704,54.707,47.36908311,45.179,,34.22812574,29.665,50.189,26.2,43.583,47.88271286,29.553,45.987,,46.143,49.341,44.208,51.405,42.691,23.97152386,42.17,34,58.122,46.335,51.819,20.8,17.3,44.818,,26.5,22.98130609,49.347,37.5447161,44.111,41.429,46.923,44.302,,42.434,22.6,47.72647853,32.4,37.139,24.1,41.958,,45.49715088,20.98591534,41.275,42.381,19.1,23.788,51.999,42.80912782,47.577,46.7,50.326,37.5,40.776,46.929,47.301,,47.63,,47.24672793,50.657,47.24672793,38.80770605,47.671,45.082,21.7,17.6,13.7,47.524,,,48.441,,45.764,26.47692004,26.73068298,47.479,42.735,48.647,45.71,41.69297737,46.066,47.88271286,47.187,42.80912782,47.24672793,37.354,45.486,45.393,,49.041,49.055,21.008,27.53189169,22.075,23.7,44.07,47.837,44.625,,35,42.165,48.771,31.75246152,48.138,,53.504,41.075,49.672,47.996
1961,34.529,51.373,48.779,40.368,,47.55839092,46.705,23.569,37.217,,32.5,22.9,18.6,45.741,48.446,17.3,44.733,47.215,48.403,17.4,45.855,34.029,30.907,22.788,44.382,,43.717,41.932,29.968,44.188,49.534,47.059,43.185,26,18.10795587,18.3,16.424,35.108,18.02,54.017,42.816,46.732,42.859,45.751,47.595,47.618,45.305,39.94940877,33.287,,,25.222,13.7,17.9,43.872,,16.6,51.047,49.576,24.5806931,43.29762973,24.48528206,26.43908732,21.78708123,44.052,46.287,19.01760378,48.653,21.2,16.5,47.837,18.5340201,46.73815395,18.4,44.257,18.7,,43.255,33.024,17.9,24.858,47.521,,45.853,48.652,42.18,40.745,17.9,43.418,,47.843,37.994,42.124,21.43806542,35,49.63,48.06480176,17.8,43.995,14,31.43872999,34.04277678,46.88943776,45.08299396,44.261,47.75528668,13.8,41.749,,21.2,47.226,42.542,25.5,25.1,18.4,40.787,52.368,17,34.87,51.068,40.315,46.353,46.806,,41.013,42.9,41.62169083,43.152,37.938,48.811,50.321,47.986,41.00846171,47.71738868,47.35011162,21.3,36.438,42.45973733,34.25602353,43.132,23.90345705,22.2,16.1,16.7,28.435,,50.537,,26.864,48.594,54.933,47.00910603,44.919,,33.25925983,29.113,50.132,23.6,43.217,47.54377621,28.91,46.783,,46.319,49.071,39.7,51.575,42.317,23.54426229,42.057,33.2,58.194,46.287,50.87,21.3,17.3,44.463,,27.1,22.82749429,49.272,37.01557102,44.185,41.241,46.643,43.77,,42.311,20.9,47.73813605,31.4,35.904,24.4,41.678,,44.79837655,20.83901474,40.343,41.741,17.5,22.734,51.382,42.61418817,47.576,46.76,50.292,35.2,40.854,47.138,47.093,,47.52,,47.21285909,50.8,47.21285909,38.33867,47.44,44.807,20.8,18.2,13.9,47.607,,,48.087,,45.669,24.43105879,25.77894004,47.568,42.617,48.473,45.552,41.39480532,46.059,47.54377621,46.732,42.61418817,47.21285909,36.754,45.418,44.721,,49.01,48.939,19.805,25.8652298,22.007,23.3,43.941,47.254,44.08,,34.62,41.661,48.277,31.03118325,47.774,,53.786,40.882,49.806,47.988
1962,33.32,51.457,48.547,39.627,,47.32760288,46.093,23.372,35.561,,32.141,22.1,18.7,45.15,48.391,16.8,45.13,47.21,48.426,16.7,45.645,33.377,30.233,21.975,43.862,26,43.608,41.481,29.25,43.065,49.537,46.824,43.194,25.2,17.20412518,18.7,16.704,34.588,37.01,53.558,43.095,46.802,43.022,45.25,47.418,47.142,44.437,39.47493368,34.242,,,24.746,13.9,17.8,44.125,,16.7,50.121,49.43,38.51419721,43.03536647,36.37136874,25.48080676,21.33260982,43.822,45.691,18.89904218,48.504,21.1,16.1,47.843,18.33719884,46.70108329,18.1,42.979,18.6,,42.97,33.605,18.3,24.511,47.659,,45.679,48.477,42.026,40.663,18,41.581,,47.334,38.025,41.204,21.09339005,34,49.357,48.05266612,17.2,43.696,12.9,37.64440375,39.20092086,46.82568803,45.02372313,43.914,47.68927351,14.1,41.484,,21.8,46.659,43.167,25.8,24.9,18.4,40.809,52.934,17.1,33.947,50.976,39.65,46.067,45.918,,39.579,43.713,41.31568975,43.03,37.426,48.819,50.349,46.882,40.70214202,47.67165387,47.26058695,20.6,35.764,42.17786059,39.49132695,43.174,35.09128603,20.9,16,16.1,26.221,,49.97,,25.912,48.485,54.94,46.67672728,44.698,,38.89784287,28.664,50.103,23.2,42.862,47.20009579,28.152,47.307,,46.499,48.758,38.8,51.736,41.738,22.65481149,41.949,32.4,58.227,46.214,49.922,20.9,17.1,44.139,,26.2,22.50520794,49.183,36.8314836,44.215,41,46.312,43.239,,42.177,19.8,47.7533026,31.3,34.975,24.5,41.398,,43.99570794,20.47607818,39.448,41.145,16.2,21.543,50.769,42.39804192,47.556,46.831,50.268,33.7,40.924,47.333,46.794,,47.424,,47.17977264,50.914,47.17977264,38.03852936,47.059,44.403,19.8,18.1,14.2,47.727,,,47.729,,45.588,38.56116907,24.81453666,47.663,42.469,48.074,45.121,41.04223654,45.977,47.20009579,46.134,42.39804192,47.17977264,35.891,45.3,44.044,,48.97,48.845,18.651,36.23981597,21.867,22.4,43.563,46.603,43.489,,34.24,41.05,47.703,34.88194955,47.323,,54.089,40.663,49.872,47.95
1963,32.05,51.53,48.43,38.723,,47.09161572,45.426,23.191,33.629,,31.752,21.5,18.8,44.147,48.338,17.1,45.489,47.229,48.412,16.4,45.28,32.417,29.458,21.053,43.407,,43.482,40.914,28.395,41.876,49.542,46.589,43.18,24.6,16.99422161,19.3,16.872,33.994,43.37,53.112,43.371,46.856,43.185,44.596,47.197,46.557,43.311,38.84275933,34.76,,,24.113,15.4,18.1,44.351,,17.6,49.129,49.21,43.07360061,42.75496616,40.27221184,24.52777856,21.02442387,43.583,45.141,19.00481844,48.329,21.4,15.3,47.828,18.41499641,46.66923078,18.2,41.616,18.5,,42.743,34.186,18.5,24.053,47.726,,45.523,48.329,41.924,40.634,17.5,39.385,,46.884,37.659,40.308,20.94719805,33.5,49.14,48.03115444,16.5,43.326,13.1,39.50581073,40.73360381,46.73726723,44.91830946,43.529,47.6089637,14.8,41.2,,22.2,46.076,43.936,26,25,18.7,40.658,53.289,17.4,32.757,50.887,38.729,45.762,44.826,,38.065,44.617,40.93964439,42.941,36.838,48.789,50.485,45.746,40.32346177,47.61849598,47.20482538,22,35.114,41.87775827,41.05068965,43.242,38.65711426,19.7,15.8,15.3,23.892,,49.282,,24.871,48.383,54.765,46.34165634,44.517,,40.5812154,28.304,50.099,20.7,42.514,46.84803423,27.286,47.503,,46.667,48.423,40.4,51.884,40.938,21.96414032,41.854,33.1,58.214,46.123,49.024,20.9,17.3,43.853,,25.5,22.37825252,49.082,36.69351071,44.2,40.703,45.929,42.708,,42.034,19.2,47.76956545,31,34.581,23.5,41.106,,43.11474832,20.29685082,38.622,40.595,15.7,20.257,50.201,42.16182314,47.511,46.906,50.251,33.2,41.006,47.496,46.409,,47.339,,47.14490297,50.999,47.14490297,37.71616263,46.519,43.844,20.4,18,14.8,47.882,,,47.374,,45.532,43.18527835,23.90120075,47.757,42.283,47.477,44.433,40.63193638,45.811,46.84803423,45.388,42.16182314,47.14490297,34.752,45.118,43.376,,48.923,48.769,17.612,39.53117859,21.661,21.7,42.945,45.895,42.864,,33.86,40.373,47.048,36.05441514,46.761,,54.413,40.419,49.865,47.876
1964,30.737,51.589,48.45,37.695,,46.84420865,44.694,23.033,31.54,,31.33,20.5,18.5,42.774,48.283,17.2,45.805,47.273,48.364,16.1,44.749,31.205,28.584,20.068,43.018,,43.337,40.234,27.414,40.67,49.546,46.362,43.144,23.4,16.50462509,19.5,16.909,33.332,39.14,52.694,43.633,46.891,43.341,43.79,46.951,45.881,41.965,38.07628669,34.774,,,23.339,15.9,18,44.546,,17.7,48.092,48.918,39.85888887,42.46022766,37.49483137,23.55682714,20.71261315,43.329,44.637,19.20911194,48.135,22,15.4,47.789,18.50999002,46.63482772,17.7,40.229,18.4,,42.558,34.747,18.8,23.507,47.719,,45.392,48.212,41.873,40.658,18,36.975,,46.502,36.928,39.471,20.79507775,30.7,48.973,47.99972817,16.2,42.887,13.1,37.75071899,39.26128226,46.62793753,44.77545229,43.12,47.51560306,14.4,40.898,,22.4,45.489,44.739,25.3,25.7,19.7,40.337,53.407,17.8,31.37,50.807,37.624,45.435,43.564,,36.552,45.548,40.49320453,42.883,36.188,48.733,50.708,44.636,39.87852396,47.55788661,47.18435041,20.6,34.504,41.56683647,39.57647314,43.337,35.81321277,19,16,14.8,21.537,,48.487,,23.786,48.292,54.446,46.01244692,44.366,,38.99631669,28.007,50.113,19.9,42.171,46.48488431,26.34,47.367,,46.812,48.082,38.9,52.016,39.943,21.31043823,41.782,33.8,58.152,46.024,48.218,20.7,17.7,43.605,,24.2,22.26866338,48.975,36.47238647,44.144,40.356,45.494,42.179,,41.887,18.1,47.78477318,31,34.79,24,40.793,,42.1906849,20.14800739,37.886,40.081,15.2,18.936,49.716,41.90741649,47.438,46.98,50.235,31.6,41.129,47.618,45.952,,47.261,,47.09389736,51.056,47.09389736,37.2965669,45.837,43.124,20.1,17.9,16,48.07,,,47.034,,45.512,39.92510926,22.92804851,47.847,42.041,46.73,43.534,40.16605147,45.56,46.48488431,44.497,41.90741649,47.09389736,33.381,44.861,42.732,,48.87,48.71,16.735,36.91392072,21.406,21.1,42.128,45.143,42.215,,33.48,39.67,46.326,34.9459189,46.084,,54.75,40.152,49.793,47.77
1965,29.413,51.631,48.622,36.599,,46.57709753,43.856,22.909,29.447,,30.858,19.6,17.9,41.099,48.212,16.4,46.075,47.332,48.28,15.3,44.032,29.877,27.642,19.09,42.693,,43.177,39.453,26.35,39.531,49.541,46.145,43.088,21.3,15.9367536,19.1,16.802,32.614,37.88,52.316,43.869,46.903,43.485,42.827,46.696,45.137,40.441,37.21283549,34.308,,,22.473,15.1,17.4,44.713,,18,47.029,48.575,38.82494281,42.15472413,36.62939073,22.61154305,20.01446158,43.052,44.167,18.61764456,47.927,21.1,14.6,47.741,17.95729577,46.5887053,17.1,38.876,18.2,,42.39,35.262,18.3,22.898,47.634,,45.296,48.118,41.868,40.73,17.7,34.562,,46.189,35.932,38.721,20.07353247,28.1,48.837,47.95952482,16.6,42.375,13.1,37.00674424,38.62679365,46.50400651,44.61151826,42.69,47.41060157,14.9,40.587,,22.1,44.898,45.453,24.6,25.8,19,39.841,53.294,18.7,29.91,50.748,36.44,45.082,42.157,,35.119,46.44,39.98058769,42.854,35.496,48.666,50.978,43.577,39.36631447,47.48911676,47.19199313,20.6,33.925,41.25519082,38.94389468,43.46,34.75723558,18.1,16,13.8,19.265,,47.602,,22.727,48.217,54.004,45.65188005,44.232,,38.31478908,27.722,50.143,17.7,41.826,46.10330432,25.36,46.948,,46.927,47.75,36,52.123,38.809,19.57472673,41.767,34.5,58.037,45.94,47.541,19.9,17.8,43.393,,22.9,21.6176009,48.855,35.98730252,44.049,39.963,45.014,41.652,,41.743,17.4,47.79883015,30.7,35.507,23.4,40.423,,41.26459992,19.42133246,37.253,39.567,14.6,17.676,49.355,41.64173658,47.343,47.047,50.214,29.5,41.366,47.695,45.443,,47.185,,47.03845675,51.078,47.03845675,36.67676873,45.051,42.262,19.3,18.5,15.9,48.299,,,46.729,,45.55,38.86813996,22.02728939,47.93,41.708,45.896,42.495,39.64888955,45.238,46.10330432,43.44,41.64173658,47.03845675,31.882,44.507,42.132,,48.805,48.661,16.059,35.9325858,21.14,19.4,41.177,44.365,41.532,,33.1,38.986,45.559,34.33130435,45.306,,55.089,39.871,49.68,47.643
1966,28.121,51.652,48.936,35.496,,46.28291116,42.857,22.83,27.496,,30.32,19.8,17.6,39.22,48.114,15.9,46.296,47.388,48.157,14.9,43.115,28.613,26.685,18.184,42.432,20.3,43.006,38.589,25.263,38.549,49.509,45.935,43.009,19.3,15.56300119,18.5,16.555,31.855,35.05,51.989,44.077,46.888,43.614,41.705,46.44,44.354,38.788,36.29777098,33.475,,,21.584,14.4,17.2,44.857,,18.4,45.955,48.215,36.63535848,41.84310644,34.31012964,21.81326477,19.51653208,42.738,43.71,18.34473084,47.705,20.7,14.2,47.711,17.65763389,46.52345612,17,37.606,18,,42.211,35.712,17.9,22.253,47.47,,45.241,48.03,41.91,40.843,18,32.37,,45.942,34.819,38.075,18.97792325,25.3,48.703,47.91378758,16.5,41.789,13.6,35.74433713,37.56098048,46.37292982,44.44468572,42.233,47.29621662,12.7,40.274,,21.5,44.3,45.97,24,25.5,18.7,39.163,52.985,13.8,28.528,50.723,35.286,44.702,40.624,,33.82,47.232,39.4097021,42.855,34.787,48.603,51.238,42.561,38.78377782,47.41208667,47.21370319,18.9,33.345,40.94938265,37.87410002,43.611,32.78097271,18,15.6,14,17.175,,46.649,,21.764,48.162,53.448,45.26654616,44.096,,37.1617456,27.395,50.184,16.9,41.474,45.69585465,24.402,46.344,,47.01,47.434,36,52.197,37.618,18.4837265,41.846,34.95,57.871,45.898,47.02,19.2,17.9,43.212,,22.5,20.59811266,48.713,35.84428873,43.912,39.535,44.495,41.128,,41.609,16.8,47.81290188,28.9,36.486,23.2,39.96,,40.37680839,18.30522013,36.722,39.003,14.2,16.579,49.147,41.36921092,47.235,47.105,50.185,28.3,41.798,47.731,44.907,,47.105,,47.00018419,51.058,47.00018419,36.26518529,44.212,41.296,18.5,18.5,15.8,48.577,,,46.482,,45.667,36.63729764,21.25975728,48.007,41.244,45.045,41.396,39.08578144,44.868,45.69585465,42.193,41.36921092,47.00018419,30.394,44.039,41.596,,48.723,48.616,15.596,34.09810676,20.91,18.4,40.173,43.575,40.8,,32.72222222,38.355,44.774,33.30097405,44.457,,55.413,39.588,49.559,47.515
1967,26.908,51.65,49.343,34.435,,45.96055011,41.678,22.804,25.786,,29.698,19.4,17.3,37.266,47.995,15.3,46.476,47.429,47.989,15,42.029,27.571,25.777,17.395,42.23,,42.833,37.683,24.22,37.771,49.432,45.726,42.907,18.2,17.94005969,17.9,16.198,31.076,33.96,51.708,44.261,46.851,43.727,40.459,46.185,43.571,37.078,35.37881024,32.469,,,20.753,14.1,16.5,44.979,,16.8,44.877,47.869,35.71436437,41.52523386,33.93342278,22.04601094,19.36473772,42.379,43.245,17.88493054,47.466,20.7,14.2,47.725,17.83015857,46.43812,16.8,36.445,17.7,,41.997,36.09,17.5,21.6,47.236,,45.227,47.933,41.999,40.982,18.8,30.551,,45.745,33.754,37.51,19.1388733,23.7,48.539,47.86725823,15.5,41.157,14.6,35.20217942,37.09444475,46.24189854,44.29279468,41.735,47.17467627,14,39.968,,21.1,43.699,46.258,22.2,23.7,17.9,38.32,52.546,19.4,27.346,50.731,34.248,44.302,39.021,,32.65,47.875,38.80106261,42.882,34.091,48.557,51.418,41.562,38.16355147,47.32630864,47.22813835,20.4,32.725,40.65233352,37.410389,43.778,32.06906895,17.7,14.8,14,15.326,,45.659,,20.946,48.122,52.785,44.81937895,43.931,,36.66064793,26.99,50.233,17,41.111,45.26258171,23.514,45.68,,47.068,47.13,31,52.232,36.465,17.83726109,42.03,35.4,57.663,45.913,46.638,18.9,17.6,43.053,,22.5,20.84434789,48.55,35.40698893,43.742,39.08,43.948,40.612,,41.491,16.3,47.82790215,26.7,37.343,22.8,39.397,,39.55679914,18.5391126,36.266,38.367,27,15.707,49.09,41.09576328,47.124,47.151,50.143,25.6,42.45,47.742,44.368,,47.014,,46.96183913,50.99,46.96183913,35.66653311,43.388,40.28,17.4,17.7,15.4,48.901,,,46.303,,45.87,35.69319084,21.40733971,48.079,40.625,44.232,40.324,38.49184797,44.47,45.26258171,40.782,41.09576328,46.96183913,29.061,43.459,41.125,,48.619,48.572,15.309,33.43337083,20.749,17.8,39.201,42.782,40.011,,32.34444444,37.782,44.003,33.0340109,43.587,,55.705,39.313,49.459,47.407
1968,25.817,51.623,49.787,33.458,,45.61137245,40.329,22.834,24.389,,28.98,20.1,17,35.358,47.867,14.8,46.622,47.45,47.775,16.9,40.822,26.85,24.959,16.756,42.081,,42.659,36.779,23.273,37.213,49.294,45.516,42.784,17.6,18.01930362,17.3,15.769,30.301,35.59,51.468,44.426,46.795,43.821,39.14,45.936,42.829,35.396,34.49654001,31.437,,,20.046,13.9,15.7,45.071,,15.3,43.809,47.563,36.77248546,41.21413932,34.79927311,21.62938204,18.96565941,41.969,42.759,17.42452414,47.211,20.1,14.9,47.794,17.4801053,46.33151285,15.9,35.418,17.5,,41.733,36.399,17.2,20.969,46.945,,45.255,47.819,42.137,41.137,18.4,29.208,,45.581,32.863,36.998,18.77055695,21.7,48.324,47.82342624,15,40.515,15.1,35.51165218,37.33442314,46.11605299,44.16880671,41.189,47.04763309,13.7,39.672,,20.9,43.114,46.301,21,24.9,17.7,37.347,52.028,18.7,26.452,50.768,33.388,43.89,37.425,,31.595,48.318,38.17643976,42.927,33.436,48.535,51.459,40.576,37.54106125,47.23137075,47.21751821,20.7,32.049,40.36382397,37.65167339,43.946,32.84996836,17.6,14,14.1,13.762,,44.668,,20.309,48.093,52.03,44.42620188,43.712,,36.92004519,26.489,50.282,16.7,40.733,44.80951868,22.73,45.056,,47.109,46.836,31.6,52.23,35.429,17.6,42.311,35.26666667,57.431,45.993,46.374,18.6,17.6,42.91,,22.7,20.50686508,48.376,35.50097698,43.546,38.603,43.383,40.112,,41.388,16.3,47.84424031,25.5,37.774,22.1,38.746,,38.83004659,18.14655418,35.856,37.656,26.6,15.098,49.174,40.82260001,47.014,47.182,50.085,23.5,43.304,47.74,43.842,,46.906,,46.95724485,50.873,46.95724485,35.42932967,42.638,39.263,17,16.8,14.3,49.256,,,46.192,,46.154,36.75943169,21.03118923,48.146,39.845,43.501,39.352,37.88490061,44.054,44.80951868,39.265,40.82260001,46.95724485,27.99,42.784,40.71,,48.492,48.529,15.154,34.13725437,20.675,17.6,38.33,41.986,39.17,,31.96666667,37.268,43.276,33.17968743,42.742,,55.948,39.049,49.401,47.333
1969,24.872,51.574,50.231,32.59,,45.23716266,38.843,22.924,23.355,,28.164,20.4,16.3,33.583,47.749,14.7,46.739,47.456,47.517,17,39.545,26.474,24.246,16.284,41.978,,42.484,35.909,22.445,36.863,49.092,45.308,42.645,17.6,17.45175505,16.7,15.291,29.544,34.11,51.265,44.573,46.725,43.892,37.804,45.706,42.157,33.817,33.67610364,30.42,,,19.494,14.5,14.7,45.123,,14.6,42.765,47.303,35.53972743,40.90233039,33.68607711,21.14333885,18.54246807,41.505,42.255,16.99523706,46.948,19.9,15.4,47.917,16.97053266,46.2031478,14.6,34.556,17.3,,41.415,36.641,16.6,20.386,46.607,,45.328,47.691,42.328,41.299,17.6,28.388,,45.442,32.201,36.525,18.57510649,21.3,48.051,47.78436054,14.5,39.901,15,34.74208095,36.68133605,45.99855599,44.07962215,40.6,46.91680891,15.3,39.388,,21.5,42.566,46.088,20.7,25.6,17.4,36.283,51.447,18.5,25.877,50.825,32.746,43.474,35.919,,30.652,48.512,37.55232366,42.98,32.841,48.54,51.325,39.629,36.92754563,47.12770087,47.17546098,19.9,31.328,40.0850304,36.98558059,44.103,31.72995876,17.5,13.3,14,12.516,,43.707,,19.868,48.069,51.214,44.00789591,43.42,,36.20519428,25.891,50.326,16.7,40.339,44.3441802,22.067,44.512,,47.132,46.552,27.7,52.194,34.549,17.87180036,42.665,35.13333333,57.187,46.133,46.213,19.2,17.6,42.777,,22.3,20.35022648,48.209,35.27074708,43.337,38.106,42.806,39.636,,41.301,16.4,47.86008556,24.9,37.656,21.7,38.035,,38.2180117,17.94021579,35.477,36.897,23.3,14.762,49.393,40.5511855,46.901,47.193,50.009,21.8,44.31,47.729,43.343,,46.774,,46.9561955,50.712,46.9561955,35.00856073,42.003,38.268,17.7,16.3,13.5,49.62,,,46.144,,46.509,35.5120947,20.60317676,48.202,38.912,42.879,38.531,37.2803424,43.618,44.3441802,37.711,40.5511855,46.9561955,27.231,42.034,40.341,,48.345,48.487,15.108,33.07358412,20.686,17.9,37.603,41.187,38.3,,31.58888889,36.814,42.614,32.66790395,41.948,,56.128,38.797,49.387,47.298
