,Year,CN_BR,CN_CP,CN_MR,IND_BR,IND_CP,IND_MR,US_BR,US_CP,US_MR
0,1960,20.86,69.5,83.7,42.0,13.6,161.4,23.7,66.5,25.9
1,1961,18.02,69.5,83.7,41.75,13.6,159.1,23.3,66.5,25.4
2,1962,37.01,69.5,83.7,41.48,13.6,156.9,22.4,66.5,24.9
3,1963,43.37,69.5,83.7,41.2,13.6,154.9,21.7,66.5,24.4
4,1964,39.14,69.5,83.7,40.9,13.6,153.1,21.1,66.5,23.8
5,1965,37.88,69.5,83.7,40.59,13.6,151.3,19.4,66.5,23.3
6,1966,35.05,69.5,83.7,40.27,13.6,149.6,18.4,66.72,22.7
7,1967,33.96,69.5,83.7,39.97,13.6,148.0,17.8,66.94,22.0
8,1968,35.59,69.5,83.7,39.67,13.6,146.4,17.6,67.16,21.3
9,1969,34.11,69.5,83.7,39.39,13.6,144.7,17.9,67.38,20.6
10,1970,33.43,69.5,80.0,39.11,13.6,142.9,18.4,67.6,19.9
11,1971,30.65,69.5,76.4,38.82,13.6,141.1,17.2,68.27,19.1
12,1972,29.77,69.5,72.9,38.52,16.01,138.9,15.6,68.93,18.3
13,1973,27.93,69.5,69.4,38.2,18.42,136.6,14.8,69.6,17.5
14,1974,24.82,69.5,65.9,37.87,20.83,134.0,14.8,74.3,16.7
15,1975,23.01,69.5,62.4,37.53,23.24,131.2,14.6,79.0,15.9
16,1976,19.91,69.5,59.0,37.2,25.66,128.1,14.6,67.7,15.2
17,1977,18.93,69.5,55.7,36.91,28.07,124.8,15.1,68.0,14.5
18,1978,18.25,69.5,52.8,36.64,30.48,121.3,15.0,68.3,13.8
19,1979,17.82,69.5,50.3,36.4,32.89,118.0,15.6,68.6,13.2
20,1980,18.21,69.5,48.0,36.17,35.3,114.7,15.9,68.9,12.6
21,1981,20.91,69.5,46.2,35.92,35.3,111.6,15.8,69.2,12.1
22,1982,22.28,69.5,44.7,35.63,36.67,108.7,15.9,69.5,11.6
23,1983,20.19,71.0,43.5,35.29,38.04,105.9,15.6,70.3,11.3
24,1984,19.9,72.5,42.7,34.89,39.41,103.4,15.6,71.1,10.9
25,1985,21.04,74.0,42.3,34.42,40.79,100.9,15.8,71.9,10.6
26,1986,22.43,73.03,42.1,33.89,42.16,98.4,15.6,72.7,10.4
27,1987,23.33,72.07,42.1,33.32,43.53,95.9,15.7,73.5,10.2
28,1988,22.37,71.1,42.2,32.73,44.9,93.4,16.0,74.3,9.9
29,1989,21.58,74.47,42.2,32.12,44.06,90.9,16.4,72.5,9.7
30,1990,21.06,77.85,42.1,31.52,43.22,88.6,16.7,70.7,9.4
31,1991,19.68,81.22,41.7,30.92,42.38,86.3,16.2,71.84,9.1
32,1992,18.27,84.6,41.0,30.35,41.54,84.2,15.8,72.98,8.8
33,1993,18.09,87.65,40.1,29.79,40.7,82.1,15.4,74.12,8.5
34,1994,17.7,90.7,38.9,29.26,41.95,80.1,15.0,75.26,8.2
35,1995,17.12,90.4,37.7,28.75,43.2,78.0,14.6,76.4,7.9
36,1996,16.98,91.1,36.3,28.26,44.45,75.8,14.4,75.89,7.7
37,1997,16.57,83.8,34.9,27.79,45.7,73.5,14.2,75.37,7.5
38,1998,15.64,83.4,33.5,27.32,46.95,71.2,14.3,74.86,7.3
39,1999,14.64,83.0,31.9,26.86,48.2,68.9,14.2,74.34,7.2
40,2000,14.03,83.8,30.1,26.4,46.9,66.6,14.4,73.83,7.1
41,2001,13.38,86.9,28.2,25.94,48.93,64.3,14.1,73.31,7.0
42,2002,12.86,86.44,26.2,25.49,50.97,62.1,14.0,72.8,6.9
43,2003,12.41,85.98,24.1,25.03,53.0,59.9,14.1,73.66,6.9
44,2004,12.29,85.52,22.2,24.57,53.0,57.8,14.0,74.52,6.8
45,2005,12.4,85.06,20.3,24.09,54.4,55.7,14.0,75.38,6.7
46,2006,12.09,84.6,18.7,23.56,56.3,53.6,14.3,76.24,6.7
47,2007,12.1,86.95,17.2,23.0,55.55,51.5,14.3,77.1,6.6
48,2008,12.14,89.3,15.8,22.39,54.8,49.4,14.0,76.4,6.5
49,2009,12.13,89.0,14.6,21.76,54.64,47.3,13.5,76.4,6.4
50,2010,11.9,89.1,13.6,21.11,54.47,45.1,13.0,76.4,6.2
51,2011,11.93,88.6,12.6,20.5,54.31,43.0,12.7,75.25,6.1
52,2012,12.1,87.9,11.6,19.92,54.15,40.9,12.6,74.1,6.0
53,2013,12.08,87.22,10.8,19.42,53.99,38.9,12.4,74.1,6.0
54,2014,12.37,86.54,10.0,18.98,53.82,36.9,12.5,72.7,5.9
55,2015,12.07,85.86,9.2,18.62,53.66,35.0,12.4,72.7,5.8
56,2016,12.95,85.18,8.5,18.33,53.5,33.2,12.2,75.94,5.8
57,2017,12.43,84.5,7.9,18.08,53.5,31.5,11.8,75.94,5.7
